model,paper_id,mode,status,outcome,attempt,delivered,figures,text_characters,panel_outcomes,planning_reduced,drawing_defects,request_count,request_failures,providers,reported_cost_usd,observed_seconds,checks_passed,checks_total,failed_checks,error
deepseek-flash,2106.09685v2,overview,ready,ready,1,yes,1,15,"{""created"": [""frozen_params"", ""results"", ""limits""], ""repaired"": [""problem"", ""low_rank"", ""merge_latency""], ""simplified"": [""lora_overview""]}",no,"{""lora_overview"": [""The declared exact display text \""Add a parallel LoRA path: \\u0394W = B A, where B is d\\u00d7r, A is r\\u00d7k, and r << min(d,k).\"" is missing or changed in the drawing. Preserve its grouping, signs, operators, and units exactly."", ""The declared exact display text \""Compute h = W0 x + B A x; initially B=0 so B A x=0, and only A and B train.\"" is missing or changed in the drawing. Preserve its grouping, signs, operators, and units exactly."", ""The number 12288, from a value item is missing from the drawing. This is a limited numeric omission check; it does not verify the surrounding wording or the scientific meaning.""]}",15,0,"DeepInfra,Fireworks,GMICloud,Modal,Morph,Novita,SiliconFlow,Together,Venice",0.222148,750.8,18,19,no_drawing_defects,
deepseek-flash,2106.09685v2,blog,failed,failed,2,no,,,{},no,{},1,1,Together,0,0.1,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider did not finish its response (error). The provider stopped generation; try a narrower request or another model.
deepseek-flash,2312.00752v2,overview,ready,ready,2,yes,1,15,"{""created"": [""problem"", ""contribution_overview"", ""selective_scan"", ""mamba_block"", ""evidence"", ""limitation""], ""repaired"": [""selection""], ""simplified"": []}",no,{},12,0,"DeepInfra,Fireworks,GMICloud,Novita,Parasail,Together,Wafer",0.147949,495.6,19,19,,
deepseek-flash,2312.00752v2,blog,failed,failed,2,no,,,{},no,{},3,1,"Together,Wafer",0.005462,390.4,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider did not finish its response (error). The provider stopped generation; try a narrower request or another model.
deepseek-flash,2107.07511v6,blog,failed,failed,2,no,,,{},no,{},3,1,Together,0.011911,15.1,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider did not finish its response (error). The provider stopped generation; try a narrower request or another model.
deepseek-flash,2107.07511v6,overview,ready,ready,2,yes,1,15,"{""created"": [""heuristic"", ""recipe"", ""calibrate"", ""guarantee"", ""adaptivity"", ""check""], ""repaired"": [""limits""], ""simplified"": []}",no,{},12,0,"DeepInfra,Fireworks,GMICloud,Morph,Relace,Together,Wafer",0.113723,720.7,19,19,,
deepseek-flash,2009.03300v3,overview,ready,ready,2,yes,1,15,"{""created"": [""gap"", ""benchmark"", ""conditions"", ""size"", ""lopsided"", ""limits""], ""repaired"": [""finetune""], ""simplified"": []}",no,{},13,0,"DeepInfra,Fireworks,GMICloud,Modal,Novita,SiliconFlow,Venice,Wafer",0.171883,375.4,19,19,,
deepseek-flash,2009.03300v3,blog,failed,failed,2,no,,,{},no,{},17,0,"DeepInfra,Modal,Relace,Together,Wafer",0.309353,2507.4,6,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections",Malformed tool JSON repeated after one protocol correction. Draft retained.
deepseek-flash,1602.03837v1,overview,ready,ready,2,yes,1,15,"{""created"": [""q_signal"", ""chirp_mass"", ""source_params"", ""search_stats"", ""impact_caveats""], ""repaired"": [""signal_sweep""], ""simplified"": [""detector_response""]}",no,"{""detector_response"": [""Outside the panel canvas: the resonant cavities multiply the light-phase effect by 300, and the output pho""]}",13,0,"DeepInfra,GMICloud,Modal,Morph,Relace,SiliconFlow,Venice",0.129667,210.3,18,19,no_drawing_defects,
deepseek-flash,1602.03837v1,blog,failed,failed,2,no,,,{},no,{},5,1,"DeepInfra,Modal,Together,Wafer",0.01658,525.5,5,11,"blog_text_present,blog_length_matches_preference,blog_has_citations,blog_has_figures,blog_has_sections,no_rejected_stages",Error while generating output: Provider did not finish its response (error). The provider stopped generation; try a narrower request or another model.
